Subject,Position,Session,A_x,A_y,A_z,G_x,G_y,G_z,C_1,Workout
1,wrist,1,0.4942499999999999,0.4955,0.5,0.5003125,0.5007,0.499025,0.5011404539771999,LegCurl
1,wrist,1,0.499625,0.498625,0.50125,0.49820625,0.5009,0.50074375,0.498752749257721,LegCurl
1,wrist,1,0.499625,0.498625,0.50125,0.4983625,0.50105625,0.50116875,0.4998983778715444,LegCurl
1,wrist,1,0.502875,0.499625,0.501125,0.5003875,0.5,0.500275,0.4999773398187322,LegCurl
1,wrist,1,0.4957499999999999,0.4978749999999999,0.50225,0.5001187500000001,0.4996875,0.5000374999999999,0.5000229684325866,LegCurl
1,wrist,1,0.5075000000000001,0.50275,0.496875,0.5006625,0.5,0.49890625,0.4999352637130767,LegCurl
1,wrist,1,0.496625,0.4987499999999999,0.50475,0.49980625,0.50074375,0.50043125,0.5000808923269312,LegCurl
1,wrist,1,0.5025000000000001,0.4997499999999999,0.5,0.50035,0.4999625,0.4975374999999999,0.4998931876074522,LegCurl
1,wrist,1,0.498625,0.50125,0.502625,0.4986312499999999,0.49991875,0.5012125000000001,0.4986054828879734,LegCurl
1,wrist,1,0.503125,0.5001249999999999,0.4987499999999999,0.50085625,0.49890625,0.5021875,0.5000511115017968,LegCurl
1,wrist,1,0.494,0.4983749999999999,0.5081249999999999,0.50055,0.49883125,0.5030875,0.4985967401156512,LegCurl
1,wrist,1,0.5002500000000001,0.496375,0.498125,0.5041375,0.4969125,0.50074375,0.499375702062839,LegCurl
1,wrist,1,0.503,0.5,0.500875,0.49851875,0.50019375,0.5005875000000001,0.4998546640099958,LegCurl
1,wrist,1,0.502625,0.5,0.4997499999999999,0.50081875,0.4996125,0.4993375,0.4994336259571835,LegCurl
1,wrist,1,0.4997499999999999,0.500375,0.4997499999999999,0.50008125,0.4998812499999999,0.50023125,0.4994459212377046,LegCurl
1,wrist,1,0.499375,0.4978749999999999,0.50125,0.498675,0.50116875,0.50078125,0.499391549851528,LegCurl
1,wrist,1,0.499875,0.4982499999999999,0.50475,0.5009375,0.4978125,0.5031625,0.4985371784653825,LegCurl
1,wrist,1,0.494875,0.4978749999999999,0.49675,0.50328125,0.4981624999999999,0.50335625,0.4994494737459036,LegCurl
1,wrist,1,0.503,0.49775,0.50125,0.50546875,0.4986312499999999,0.5016375,0.499395102359727,LegCurl
1,wrist,1,0.49625,0.5042500000000001,0.501875,0.50921875,0.4998812499999999,0.5015625,0.4996732407407214,LegCurl
1,wrist,1,0.497625,0.496125,0.498125,0.50640625,0.5003125,0.5005062499999999,0.5000572831692485,LegCurl
1,wrist,1,0.5042500000000001,0.503,0.502625,0.50953125,0.4996875,0.49914375,0.4998746589310777,LegCurl
1,wrist,1,0.494,0.492875,0.5045,0.50519375,0.499025,0.500625,0.4995253680262404,LegCurl
1,wrist,1,0.5038750000000001,0.4988749999999999,0.497625,0.51035,0.4978499999999999,0.49875,0.499076077121403,LegCurl
1,wrist,1,0.494,0.495,0.50475,0.5050374999999999,0.49875,0.4981624999999999,0.4993601195499301,LegCurl
1,wrist,1,0.5118750000000001,0.507125,0.4955,0.5078499999999999,0.49699375,0.49668125,0.4980774953117594,LegCurl
1,wrist,1,0.5025000000000001,0.506375,0.503375,0.50046875,0.49765625,0.50144375,0.4995615377402554,LegCurl
1,wrist,1,0.4983749999999999,0.49625,0.49725,0.50046875,0.4986312499999999,0.5064875,0.499812246835418,LegCurl
1,wrist,1,0.4982499999999999,0.494125,0.4965,0.494375,0.50206875,0.5028875,0.5001962892639451,LegCurl
1,wrist,1,0.502125,0.499125,0.504375,0.495,0.50328125,0.497775,0.4999136650257744,LegCurl
1,wrist,1,0.504,0.50625,0.50325,0.4987125,0.50116875,0.49734375,0.499764374120937,LegCurl
1,wrist,1,0.501,0.5035000000000001,0.502,0.49949375,0.49886875,0.50199375,0.5002150832160996,LegCurl
1,wrist,1,0.501125,0.501,0.4992499999999999,0.5015625,0.498675,0.5047625,0.5001657923112934,LegCurl
1,wrist,1,0.50125,0.500375,0.50225,0.4996125,0.4991,0.50480625,0.5012498347397893,LegCurl
1,wrist,1,0.495125,0.492875,0.503375,0.4973812499999999,0.5007,0.5038687500000001,0.5010672105016187,LegCurl
1,wrist,1,0.49625,0.4934999999999999,0.501875,0.49965,0.500625,0.4987874999999999,0.5015179195967814,LegCurl
1,wrist,1,0.4995,0.50075,0.5035000000000001,0.49800625,0.50109375,0.4971125,0.501668628691975,LegCurl
1,wrist,1,0.502875,0.502,0.501,0.5003125,0.50023125,0.496875,0.5013860044538043,LegCurl
1,wrist,1,0.49725,0.501125,0.503625,0.4987874999999999,0.500275,0.5005875000000001,0.5018033802156336,LegCurl
1,wrist,1,0.492,0.4925,0.501375,0.4974625,0.50116875,0.5016812500000001,0.501020755977463,LegCurl
1,wrist,1,0.493625,0.491,0.502125,0.49695625,0.50304375,0.499375,0.5008381317393233,LegCurl
1,wrist,1,0.506375,0.504875,0.4987499999999999,0.4971875,0.5015625,0.49543125,0.5005221741678193,LegCurl
1,wrist,1,0.498,0.5002500000000001,0.503,0.49800625,0.50199375,0.49918125,0.500472883262982,LegCurl
1,wrist,1,0.501625,0.4985,0.500375,0.50206875,0.49793125,0.4991,0.4995569256914779,LegCurl
1,wrist,1,0.494,0.4965,0.501375,0.5009375,0.49921875,0.49883125,0.499340968120005,LegCurl
1,wrist,1,0.50175,0.502375,0.4982499999999999,0.50136875,0.50019375,0.49828125,0.5001916772151677,LegCurl
1,wrist,1,0.49375,0.4945,0.5037499999999999,0.49769375,0.4978499999999999,0.50293125,0.5003757196436636,LegCurl
1,wrist,1,0.49675,0.495375,0.502875,0.49820625,0.49765625,0.5021875,0.5003264287388263,LegCurl
1,wrist,1,0.508625,0.5002500000000001,0.499,0.50206875,0.4964437499999999,0.49980625,0.5005104711673533,LegCurl
1,wrist,1,0.50175,0.502375,0.5,0.5022625000000001,0.49695625,0.4999625,0.5004278469291826,LegCurl
1,wrist,1,0.4995,0.4985,0.502375,0.5009375,0.49789375,0.49914375,0.5006118893576786,LegCurl
1,wrist,1,0.50075,0.502125,0.501375,0.5018375,0.4993375,0.4987125,0.5005292651195079,LegCurl
1,wrist,1,0.499,0.502375,0.511125,0.50035,0.501325,0.4968,0.5004133075480349,LegCurl
1,wrist,1,0.502375,0.492125,0.5035000000000001,0.5124625,0.5031625,0.494025,0.5001306833098642,LegCurl
1,wrist,1,0.491875,0.49175,0.5115000000000001,0.5221875,0.49555,0.49601875,0.5002813924050269,LegCurl
1,wrist,1,0.4907499999999999,0.498125,0.5,0.5335562500000001,0.49508125,0.4965625,0.4991654348335229,LegCurl
1,wrist,1,0.4947499999999999,0.5197499999999999,0.504,0.5474625000000001,0.4941375,0.5044937500000001,0.4986494772620499,LegCurl
1,wrist,1,0.4983749999999999,0.494875,0.500625,0.51304375,0.49918125,0.5037125,0.4978001863572125,LegCurl
1,wrist,1,0.510375,0.5115000000000001,0.49325,0.52265625,0.4959375,0.5003125,0.4981508954523752,LegCurl
1,wrist,1,0.5,0.53175,0.481625,0.54261875,0.4889875,0.48136875,0.4976634259259018,LegCurl
1,wrist,1,0.5155000000000001,0.506875,0.488625,0.5046875,0.49636875,0.5005875000000001,0.4989450375058378,LegCurl
1,wrist,1,0.50175,0.507625,0.491875,0.50261875,0.4971125,0.5015999999999999,0.4995266490857737,LegCurl
1,wrist,1,0.49675,0.501,0.5065000000000001,0.4959749999999999,0.5003125,0.50046875,0.4993749273323764,LegCurl
1,wrist,1,0.50225,0.4934999999999999,0.49725,0.495,0.49945,0.5022625000000001,0.4999898722456458,LegCurl
1,wrist,1,0.506375,0.502125,0.505375,0.4991,0.4992562499999999,0.4971125,0.5013714838255817,LegCurl
1,wrist,1,0.491,0.4955,0.5001249999999999,0.50081875,0.496525,0.49789375,0.5016197620721534,LegCurl
1,wrist,1,0.488875,0.5015,0.5055,0.49976875,0.5016375,0.4974625,0.5011013736520894,LegCurl
1,wrist,1,0.500625,0.499875,0.497625,0.5038687500000001,0.49828125,0.49761875,0.5012163185653588,LegCurl
1,wrist,1,0.493625,0.500625,0.5037499999999999,0.49695625,0.5019125,0.49851875,0.5006312634786281,LegCurl
1,wrist,1,0.497625,0.498,0.504375,0.50046875,0.4983625,0.4977375,0.4993462083918973,LegCurl
1,wrist,1,0.4995,0.50225,0.49675,0.50081875,0.49953125,0.4984749999999999,0.4983278199718334,LegCurl
1,wrist,1,0.506375,0.501,0.501125,0.49761875,0.50055,0.4973812499999999,0.498176098218436,LegCurl
1,wrist,1,0.495,0.496625,0.5015,0.49730625,0.5006625,0.4996125,0.496957709798372,LegCurl
1,wrist,1,0.5002500000000001,0.498125,0.502,0.4990625,0.50085625,0.49949375,0.4976059880449747,LegCurl
1,wrist,1,0.502,0.50225,0.499875,0.4998812499999999,0.49805,0.5005062499999999,0.500020932958244,LegCurl
